No,Runner ID,Runner Name
001,HOP-358,愛很簡單小宇宙
002,TOF-942,城市探險不說出口
003,LUV-726,簡單愛和豆花旅人
004,WAV-612,七里香小火車
005,FLY-609,陰天與小宇宙
006,RUN-439,愛很簡單慢跑王
007,LUV-897,豆花號黑色幽默
008,TOF-331,盛夏光年跑跑日記
009,JAZ-304,星空和星球計畫
010,LUV-178,親愛的你的浪漫探測器
011,BEE-436,你是我的花朵與慢跑王
012,FLY-181,慢跑王溫柔
013,MOO-742,慢跑王星空
014,WOW-642,獨家記憶和散步指南
015,ICE-353,彩虹旅人心太軟
016,JOY-855,一個人散步指南
017,ABC-153,孤單北半球草莓塔
018,BEE-466,慢跑王聽海
019,ICE-676,孤單北半球與三輪車
020,FLY-808,豆花旅人親愛的你
021,ICE-194,衝浪隊星晴
022,WOW-934,勇氣彩虹旅人
023,ABC-913,藍蓮花豆花旅人
024,MIL-108,簡單愛與跑跑日記
025,DMT-984,紅豆衝浪隊
026,MIX-975,冰淇淋一個人
027,TOF-890,你是我的花朵流浪記
028,OMG-125,獨家記憶和冰淇淋
029,YAY-488,後來和浪漫探測器
030,ZEN-601,突然好想你的小火車
031,POP-736,勇氣與城市探險
032,LOL-564,盛夏光年與飯糰
033,CBD-136,星晴微糖宇航員
034,EPS-192,親愛的你仙人掌
035,WAV-185,聽海流浪記
036,WAV-493,星球計畫曖昧
037,LUV-811,我願意與小宇宙
038,JAZ-357,曖昧與跑跑日記
039,SUN-298,龍捲風和香蕉船
040,POP-867,倔強和散步指南
041,JOY-989,黑色幽默和散步指南
042,FLY-823,跑跑日記天天想你
043,WAV-205,豆花旅人騎士精神
044,WOW-900,獨家記憶和小宇宙
045,LUV-719,慢冷的三輪車
046,JAZ-837,慢冷和慢跑王
047,FLY-230,龍捲風與流浪記
048,ABC-794,倔強和微糖宇航員
049,JOY-188,跑跑日記天天想你
050,MOO-762,三輪車七里香
051,BEE-963,衝浪隊騎士精神
052,HOP-645,最初的地方夜跑部
053,DMT-132,紅豆豆花旅人
054,WOW-903,電音列車黑色幽默
055,DOG-944,陰天的豆花號
056,CBD-146,微糖宇航員星空
057,ICE-831,最初的地方與流浪記
058,TOF-654,微糖宇航員後來
059,SUN-580,小宇宙心太軟
060,RAM-546,後來和散步指南
061,JAZ-670,盛夏光年的散步指南
062,TOF-904,天天想你與草莓塔
063,SUN-759,聽海和小宇宙
064,SKY-903,小火車浪人情歌
065,HOP-331,愛情轉移的香蕉船
066,FLY-371,星球計畫倔強
067,LOL-604,簡單愛浪漫探測器
068,POP-701,小火車最初的地方
069,RUN-109,彩虹旅人曖昧
070,ZEN-633,電音列車倔強
071,MIL-509,海豚號親愛的你
072,HOP-982,香蕉船溫柔
073,POP-491,散步指南愛情轉移
074,JAZ-667,電音列車聽海
075,EPS-708,城市探險天天想你
076,ICE-991,小幸運的海豚號
077,RAM-178,奶茶騎士紅豆
078,WAV-372,香蕉船不說出口
079,OMG-226,小幸運浪漫探測器
080,RUN-149,彩虹旅人孤單北半球
081,SUN-465,海豚號你是我的花朵
082,YAY-908,流浪記一個人
083,ZEN-813,星晴的衝浪隊
084,ICE-748,聽海冰淇淋
085,BEE-753,三輪車慢冷
086,DMT-725,聽海飯糰
087,EPS-159,衝浪隊挪威的森林
088,MNG-515,溫柔跑跑日記
089,ICE-471,倔強和冰淇淋
090,ABC-778,後來的浪漫探測器
091,RUN-948,小宇宙星空
092,SKY-411,獨家記憶和微糖宇航員
093,CBD-634,盛夏光年與香蕉船
094,MIL-774,藍蓮花冰淇淋
095,LUV-591,微糖宇航員小幸運
096,BEE-520,慢冷星球計畫
097,SKY-272,草莓塔不說出口
098,BEA-390,突然好想你與奶茶騎士
099,SUN-588,微糖宇航員旅行的意義
100,BEA-918,星晴三輪車
101,LUV-355,星晴夜跑部
102,TOF-847,聽海與冰淇淋
103,MIL-899,城市探險簡單愛
104,BEA-882,草莓塔不說出口
105,POP-708,後來衝浪隊
106,JOY-595,勇氣豆花旅人
107,EPS-935,可愛女人三輪車
108,EPS-474,孤單北半球與小火車
109,ICE-193,龍捲風的夜跑部
110,CAT-579,豆花旅人可愛女人
111,MOO-995,陰天慢跑王
112,WOW-672,龍捲風城市探險
113,MIL-477,倔強小火車
114,RUN-397,龍捲風星球計畫
115,ZEN-359,戀曲1990的流浪記
116,LUV-773,藍蓮花海豚號
117,MIL-925,可愛女人浪漫探測器
118,HOP-820,草莓塔聽海
119,TOF-922,我願意豆花旅人
120,WOW-416,奶茶騎士親愛的你
121,TOF-749,慢冷星球計畫
122,LUV-378,我願意慢跑王
123,WAV-893,星晴和慢跑王
124,EPS-240,天天想你夜跑部
125,MOO-381,一個人和冰淇淋
126,OMG-892,孤單北半球與跑跑日記
127,CAT-851,倔強與冰淇淋
128,JOY-489,我願意飯糰
129,TOF-138,散步指南浪人情歌
130,DMT-197,星空和豆花旅人
131,HOP-466,突然好想你和彩虹旅人
132,OMG-269,天天想你的星球計畫
133,MIX-168,溫柔跑跑日記
134,EPS-525,散步指南龍捲風
135,OMG-637,微糖宇航員心太軟
136,FLY-116,星球計畫勇氣
137,JOY-360,旅行的意義的浪漫探測器
138,FLY-223,心太軟城市探險
139,ICE-732,城市探險親愛的你
140,DMT-550,小宇宙聽海
141,SUN-176,城市探險星晴
142,SUN-999,曖昧城市探險
143,LOL-807,龍捲風香蕉船
144,TOF-740,星晴與衝浪隊
145,DMT-807,戀曲1990的散步指南
146,MIX-860,散步指南後來
147,BEA-786,星空浪漫探測器
